Time, RES, VIRT, CPU
2022-03-05 00:12:20.575568, 3800000000, 4705928, 940.0
2022-03-05 00:12:21.588379, 3800000000, 4705928, 733.3
2022-03-05 00:12:22.581728, 3800000000, 4771464, 681.2
2022-03-05 00:12:23.595903, 3800000000, 4739780, 726.7
2022-03-05 00:12:24.595879, 3800000000, 4739780, 1607.0
2022-03-05 00:12:25.599685, 3700000000, 4543172, 1620.0
2022-03-05 00:12:26.600117, 3800000000, 4691140, 1620.0
2022-03-05 00:12:27.603708, 3800000000, 4708036, 1627.0
2022-03-05 00:12:28.599653, 3800000000, 4676296, 1620.0
2022-03-05 00:12:29.619792, 3800000000, 4627656, 1693.0
2022-03-05 00:12:30.599821, 3800000000, 4710088, 1673.0
2022-03-05 00:12:31.581435, 3800000000, 4610760, 2513.0
2022-03-05 00:12:32.596232, 3800000000, 4579016, 2300.0
2022-03-05 00:12:33.606546, 3800000000, 4579016, 1820.0
2022-03-05 00:12:34.611697, 3800000000, 4644552, 1773.0
2022-03-05 00:12:35.577814, 3800000000, 4579016, 1887.0
2022-03-05 00:12:36.595728, 3700000000, 4479688, 246.7
2022-03-05 00:12:37.595915, 3700000000, 4479688, 200.0
2022-03-05 00:12:38.584660, 3700000000, 4479688, 100.0
2022-03-05 00:12:39.595789, 3700000000, 4445892, 1080.0
2022-03-05 00:12:40.595828, 3700000000, 4445892, 1053.0
2022-03-05 00:12:41.595710, 3700000000, 4445892, 833.3
2022-03-05 00:12:42.595750, 3700000000, 4445892, 933.3
2022-03-05 00:12:43.595714, 3700000000, 4445892, 933.3
2022-03-05 00:12:44.595738, 3700000000, 4576964, 980.0
